class,latitude,longitude
3,44.95062682,-92.78935234
3,44.87257607,-93.69051303
3,45.01880208,-92.87020468
3,45.09340592,-92.96573125
3,44.79967678,-93.91799179
3,44.93165349,-93.24526359
7,45.07393741,-93.56144481
3,45.05659643,-93.62452309
3,44.63487289,-92.76629033
3,44.90858219,-92.84195051
7,45.13291748,-92.79097148
7,44.90587604,-93.83949743
3,44.8080184,-93.21856241
3,45.35610194,-93.12184387
3,44.66720443,-93.10298308
3,44.66522702,-93.30355251
3,44.62781407,-93.03672904
3,45.18282046,-93.60413601
3,45.32721117,-93.11833652
3,44.58322767,-92.9176602
3,45.13211172,-93.40750191
2,44.84517401,-93.27146946
3,44.86597157,-93.75271344
3,45.251733,-93.21222906
2,45.05302008,-93.68315636
6,45.0761297,-93.24740539
2,45.26943007,-93.44404965
2,44.93507601,-93.37682999
6,44.61437152,-93.33277997
3,44.59335033,-93.58930336
8,45.31952763,-93.2048266
2,44.82460466,-93.14880061
9,45.11200229,-93.09844054
3,45.03763937,-93.39426156
9,44.82977861,-93.66647191
2,44.93890696,-93.43845277
2,44.57974564,-93.55553421
9,44.94868657,-93.34269226
6,44.77799075,-93.60634539
3,45.06834811,-93.33387928
8,44.92828514,-93.38857063
6,44.88127796,-93.17705575
6,45.03973612,-92.78407393
2,45.37871199,-93.30543055
6,45.26057467,-92.75303094
6,44.94701712,-93.07267895
6,44.83901451,-93.01143142
6,44.78670321,-92.79222478
6,44.65222021,-93.73064713
6,44.75690315,-92.94887404
1,44.87348431,-92.81115023
1,45.28538583,-93.38374486
6,45.41030752,-93.39339551
1,45.30908862,-93.3796829
1,45.01211962,-92.96692191
1,45.06362661,-92.92618882
1,44.71484036,-93.05012966
1,45.31563948,-93.21859849
1,44.97675006,-93.00983678
2,45.33094622,-93.38442308
7,44.95570739,-93.95889095
1,45.05039746,-92.92496302
1,45.05637306,-93.08764972
1,45.24073922,-92.8533688
1,45.27573848,-93.40476356
1,45.31044262,-93.37854381
1,44.78474827,-93.08753772
1,45.19110406,-92.83713337
1,45.37416199,-93.30893853
1,45.26237497,-93.47168781
1,45.41291825,-93.20445497
1,45.22455395,-93.51515141
1,45.32943625,-93.12214285
7,44.96654171,-93.98684176
1,44.65340294,-93.01746265
1,44.79324846,-92.81997959
1,44.80637308,-92.82491863
1,45.05821407,-92.83762769
1,45.14829373,-93.11042042
1,45.03723276,-92.86666842
7,45.34913744,-93.49867122
1,45.36664877,-93.12190883
1,44.99369166,-92.83108174
1,45.04472123,-92.86481302
1,45.10712649,-92.92225437
1,45.3297174,-93.12804423
7,45.31937984,-93.51065874
1,44.77829608,-93.09544758
1,45.22965057,-92.8238657
1,45.03513226,-93.03410685
1,45.27630783,-92.78815082
1,45.20016155,-92.79187131
6,45.12311306,-93.02941638
11,45.38207631,-93.05752339
1,45.32632174,-93.42094327
1,45.1190814,-92.93255017
1,45.06277093,-92.93983458
1,45.30226185,-93.10453474
2,45.27276482,-92.77133595
2,44.54606032,-93.77463778
2,44.6869901,-93.60388092
2,45.08126022,-93.35072622
4,45.25920835,-92.94536633
2,45.20745558,-92.79337278
2,44.937999,-92.82818166
2,44.87855689,-93.58688958
2,45.297525,-93.057882
2,45.20946134,-93.27930931
2,44.97866747,-93.54909941
2,44.54809313,-93.11108179
2,45.03054938,-93.41363568
2,45.1772476,-92.81524556
2,44.96865918,-93.49346121
11,45.20591839,-93.15399349
2,45.34370043,-93.26809772
2,44.88002015,-93.10108292
2,44.99480916,-93.70758412
2,44.96488007,-93.65433988
5,44.56104795,-93.5682002
2,44.84235842,-93.40203769
2,44.82465125,-93.99921747
2,45.12508604,-92.79100008
11,44.8293901,-93.58980601
7,44.68917254,-92.77364399
2,44.78127312,-93.22301185
2,44.87694224,-93.63625035
2,45.10576589,-92.87572785
2,44.9343458,-93.01905437
2,45.34352572,-93.33434412
2,45.39065324,-93.13418209
2,45.06569419,-93.72979816
2,44.74748472,-93.95923152
4,45.17847713,-93.00500813
2,45.19295918,-93.15166701
2,44.77485817,-92.81425823
2,44.67880115,-93.62007254
2,44.81603646,-93.07251424
2,44.71426349,-93.69923293
2,44.98371008,-93.11534454
2,44.795877,-92.799201
5,45.14815657,-93.13094059
3,45.25299497,-93.05930455
2,44.69376299,-92.77324748
2,44.77784115,-93.5832142
2,44.59092405,-93.47211223
2,44.97885944,-93.36646275
2,44.72070458,-93.06860705
2,45.31031554,-93.22124987
8,44.57992561,-93.14401844
2,44.59641002,-93.13612131
7,45.2744933,-93.16603533
9,44.80970374,-93.39536127
2,44.96520359,-92.78587534
2,44.97085819,-93.73696417
2,44.95627901,-93.77709437
2,44.773836,-93.728437
5,44.72030252,-93.39778232
2,44.96065789,-93.68358087
2,44.92379361,-93.3581297
1,45.17581329,-92.76905165
2,45.21520071,-92.97329957
2,44.5905853,-93.650882
7,44.77218676,-92.83322367
2,44.93814139,-93.85859863
2,45.29267096,-93.4396399
2,44.81169617,-92.90178054
2,44.79814576,-93.75865858
2,45.38988042,-93.26678297
2,45.22911961,-93.17010697
2,45.12310867,-92.74790294
2,44.85123665,-93.59534412
2,44.79618462,-93.91566065
2,45.14703348,-93.16413844
2,44.82332927,-93.78858764
2,45.22637895,-92.80476858
8,45.15384021,-93.27560255
2,44.9375886,-93.49661704
2,45.19871114,-92.93281959
2,45.03210835,-93.0076613
2,44.70354444,-93.72902029
2,44.62989849,-93.75759809
2,45.19894457,-93.11348682
2,45.35245422,-93.21490313
2,44.94395475,-92.83805082
5,45.12316617,-93.48525503
3,44.93615999,-93.37569643
2,45.03495231,-93.58086862
2,44.7918577,-93.19460765
2,45.04825961,-93.44385888
2,44.98166887,-93.41366456
2,44.7549779,-93.564791
2,44.70141502,-92.82433876
2,44.77173426,-92.91170579
2,44.79819342,-93.09752619
7,44.71665578,-92.93527361
2,44.8435348,-93.44873729
2,45.28801732,-92.84969912
2,45.088538,-92.94743539
2,44.71765455,-93.76025747
5,44.83292825,-93.94698467
2,44.77022436,-93.77421617
2,44.75955401,-93.51063077
2,44.7472113,-93.65377422
2,45.30887456,-93.43938245
2,45.24568346,-93.09026113
2,45.37776505,-93.03414608
2,45.10875967,-93.10072312
2,44.59690507,-93.84108419
2,44.91883458,-93.52344259
2,45.22297293,-93.11926644
2,45.01574406,-93.47102097
2,45.02211383,-93.02479521
2,44.60775376,-92.86431823
2,44.94635432,-92.81750884
2,44.95501924,-93.58006165
2,45.27567198,-93.0711849
2,44.61912783,-93.79262498
5,44.7392792,-93.62337106
2,44.81131901,-93.68257319
2,44.63146813,-93.80451774
4,44.77385085,-93.37578001
2,44.70965384,-92.75235536
4,44.55090167,-93.48425259
2,44.80292972,-93.40176375
4,44.72996696,-93.5971296
4,44.69390165,-93.62439855
2,44.88969525,-93.37995273
2,45.25157437,-93.13997122
2,45.16486152,-93.29588754
4,44.73279376,-93.62405914
4,45.1718465,-93.1848258
2,44.55904835,-93.58971251
4,45.36857232,-93.06134071
4,44.80201387,-93.02204542
2,45.16066283,-92.75575319
2,44.89507741,-93.15924073
4,45.02886616,-92.97986042
2,44.79946744,-93.38770504
4,45.38774123,-93.06825958
4,45.20699869,-92.84609248
5,45.22782764,-93.12500891
2,45.22725051,-93.15519753
5,45.34046077,-93.09998438
5,45.23579145,-93.41282876
5,45.32887669,-93.06053218
5,44.80252416,-93.93321037
5,45.29516574,-93.49016323
4,45.28567672,-93.04556706
5,45.20087085,-92.93167113
2,44.85766395,-93.60566219
5,45.11744555,-93.00690987
5,45.07303216,-93.16888105
5,44.77092727,-93.43831734
5,44.89140455,-92.97382973
5,44.47878803,-93.22336547
5,44.903168290000004,-93.72203892
3,44.89891798,-93.86713391
5,44.48005929,-93.26071713
5,45.33289619,-93.10379967
5,45.25386695,-93.22600085
5,45.16993681,-93.4024268
5,44.55542331,-93.43443013
4,44.75904854,-93.61334921
5,45.36411572,-93.18660004
3,45.13445811,-92.98554624
5,45.06050172,-93.60132229
3,45.05771934,-93.36544204
2,44.96093358,-93.30967224
3,45.21601244,-92.98132277
8,44.82498727,-93.3461329
8,44.95129426,-93.37237233
8,44.9532514,-93.00727047
8,44.85209779,-93.39716985
9,45.17135633,-93.15084611
3,44.75521497,-92.86548973
2,44.78143584,-93.56656569
9,44.81484535,-93.39236106
9,45.08198279,-93.37817565
9,44.96350791,-93.25110521
