system:index,GEOID10,Year,ndvi_uncultivated,.geo
00000000000000000000,270530209033,2021,0.5625876823858043,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,270530222002,2021,0.5085323731343204,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,270530228011,2021,0.613507142909263,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,270530240062,2021,0.5408448469144803,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,270530239013,2021,0.6439973369803877,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,270531255003,2021,0.44466521314042823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,270531028003,2021,0.5094533089208652,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,270531030001,2021,0.3770078697224581,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,270531031001,2021,0.46097979077491347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,270531036001,2021,0.5136058935777347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,270531036002,2021,0.37573980890577807,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,270531037001,2021,0.33293671054756596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,270531037003,2021,0.36518971130123773,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,270531040005,2021,0.29762875050831494,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,270531028002,2021,0.5097451493331786,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,270530022002,2021,0.4644299826091087,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,270530022001,2021,0.5352977861845201,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,270531030002,2021,0.5518088097647149,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,270531039001,2021,0.3862317392389827,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,270531040001,2021,0.3317841312019702,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,270530024001,2021,0.43304326806338234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,270531039002,2021,0.2667666232575428,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,270530233001,2021,0.5051711654469185,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,270530233002,2021,0.3278062365727923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,270530233004,2021,0.5189249674184425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,270530233003,2021,0.5169856484699273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,270530235025,2021,0.5613101477263918,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,270530234001,2021,0.5563462879885706,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,270530234003,2021,0.39543797653184737,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,270530271012,2021,0.7102318538200918,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,270530271013,2021,0.7281834147097935,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,270531048002,2021,0.3703567473322998,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,270530264032,2021,0.5885609363840406,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,270530264021,2021,0.5840203223757938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,270530273001,2021,0.618196902099934,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,270530275032,2021,0.671818015423657,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,270530277001,2021,0.7019232056734171,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,270530277004,2021,0.6600753071948404,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,270530277003,2021,0.6149580155687845,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,270530277002,2021,0.7069491366591001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,270530277005,2021,0.6596869854045397,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,270530266122,2021,0.5976047709690493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,270530266061,2021,0.675417853116078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,270530266093,2021,0.5791191895185862,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,270530266092,2021,0.6385530927445701,"{""type"":""MultiPoint"",""coordinates"":[]}"
