system:index,GEOID10,Year,ndvi_land,.geo
00000000000000000000,270530209033,2021,0.5625876823858043,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,270530222002,2021,0.5087393284233327,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,270530228011,2021,0.6137279217674552,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,270530240062,2021,0.54178790759406,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,270530239013,2021,0.6441929795748945,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,270531255003,2021,0.4449667904635335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,270531028003,2021,0.5094533089208652,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,270531030001,2021,0.3770078697224581,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,270531031001,2021,0.46168399156388595,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,270531036001,2021,0.5136058935777347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,270531036002,2021,0.37806502918869983,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,270531037001,2021,0.33293671054756596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,270531037003,2021,0.36518971130123773,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,270531040005,2021,0.29762875050831494,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,270531028002,2021,0.5151374948826608,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,270530022002,2021,0.4644299826091087,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,270530022001,2021,0.5352977861845201,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,270531030002,2021,0.5522912944587254,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,270531039001,2021,0.3862317392389827,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,270531040001,2021,0.3320379248749673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,270530024001,2021,0.43304326806338234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,270531039002,2021,0.2667666232575428,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,270530233001,2021,0.5062731324577627,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,270530233002,2021,0.33032865122870225,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,270530233004,2021,0.5189249674184425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,270530233003,2021,0.5169856484699273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,270530235025,2021,0.5616223156050989,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,270530234001,2021,0.5563462879885706,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,270530234003,2021,0.39543797653184737,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,270530271012,2021,0.7067639217348699,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,270530271013,2021,0.721021005293347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,270531048002,2021,0.37108584460947386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,270530264032,2021,0.5889766780079303,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,270530264021,2021,0.5840203223757938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,270530273001,2021,0.6182405741302924,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,270530275032,2021,0.6712332386186732,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,270530277001,2021,0.6967233809395516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,270530277004,2021,0.651719273159713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,270530277003,2021,0.654176336357077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,270530277002,2021,0.7104805953986179,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,270530277005,2021,0.658779474312427,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,270530266122,2021,0.5976992610268737,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,270530266061,2021,0.6754179626841796,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,270530266093,2021,0.5792214278190186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,270530266092,2021,0.6386349291138788,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,270530241002,2021,0.5286520772756338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,270530241003,2021,0.45739150407551404,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,270530242002,2021,0.5961469481946763,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,270530242003,2021,0.5516814148519651,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,270530242001,2021,0.6225685214683785,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,270530243004,2021,0.5977858628182806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,270530243003,2021,0.46466497774630905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,270530243002,2021,0.3497921968192109,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,270530245003,2021,0.5119537887895977,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,270530243001,2021,0.5444936630388272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,270530268106,2021,0.39719826765969174,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,270530257016,2021,0.6107516761845734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,270530260153,2021,0.5638788802003271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,270530260202,2021,0.5676616059133022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,270530260211,2021,0.6646876163170107,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,270530266091,2021,0.6430296379123847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,270530262083,2021,0.6793494782980593,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,270030502162,2021,0.7033624716092084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,270030502151,2021,0.6873809492847665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,270030502163,2021,0.6761890562513337,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,270030502103,2021,0.6822669117543277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,270030502104,2021,0.7006294865901498,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,270030502152,2021,0.6498047586748498,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,270030513051,2021,0.4996327537387412,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,270030502242,2021,0.6570797776133055,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,270030507121,2021,0.6192865138582115,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,270030507122,2021,0.6172927613947116,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,270030510022,2021,0.48551542798167246,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,270030511011,2021,0.4308813725790359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,270030511015,2021,0.6445162755953765,"{""type"":""MultiPoint"",""coordinates"":[]}"
