tract_string,variable,raw_value,COUNT,z_score,name,type,interpret_high_value,weights_nominal,weights_scaled,weights_rank,overall_rank
27003050107,ppov185,0.231,700,0.13622749620702096,% people whose family income is <185% of the federal poverty threshold,people,high_opportunity,2.520710059171598,5.541792805219046,6.514285714285714,456
27003050107,prim_flood,0.064,704,0.05970289134898317,% developed acres in primary flood zone,environment,high_opportunity,2.5,5.238038655591589,5.980113636363637,421
27003050107,p_0017,0.3,703,1.0848489383877056,% people age 17 or younger,people,high_opportunity,6.289308176100628,8.61005716782467,8.904694167852064,626
27003050107,p_65up,0.092,703,-0.7786812218396235,% people age 65 or older,people,high_opportunity,2.0535714285714284,2.180837602081784,2.1052631578947367,148
27003050107,avg_temp,82.568,704,-2.1998400525862856,Land surface temp on hot summer day,environment,high_opportunity,0.6548076923076898,0.1390912258127784,0.1278409090909091,9
27003050107,phhi_qntl1,0.208,700,-0.01686385240040874,"% households with annual income less than $35,000",people,high_opportunity,2.380952380952381,4.9327261513482865,5.699999999999999,399
27003050107,green_roof,257.24,702,-0.5021241535273361,Water holding potential of green roofs on commercial bldgs,environment,high_opportunity,0.298799907766246,3.077900954738331,3.01994301994302,212
27003050107,env_cancer,22.12,703,-1.9111080348347071,Lifetime cancer risk from air toxics,people,high_opportunity,1.8965048895327783,0.279953494088208,0.41251778093883357,29
27003050107,luse_green,0.031,704,-0.764857581352563,NA,NA,NA,NA,NA,NA,NA
27003050107,pbipoc,0.040000000000000036,703,-1.1656318861609738,% people of color,people,high_opportunity,0.3099173553719011,1.218816550614794,0.19914651493598862,14
27003050108,ppov185,0.161,700,-0.3151009225992011,% people whose family income is <185% of the federal poverty threshold,people,high_opportunity,1.6923076923076927,3.7634251402127554,4.9,343
27003050108,prim_flood,0.099,704,1.0224510869242096,% developed acres in primary flood zone,environment,high_opportunity,3.8671875,8.467162741080344,8.821022727272727,621
27003050108,p_0017,0.285,703,0.8593155106468707,% people age 17 or younger,people,high_opportunity,5.9748427672955975,8.049167654686112,8.264580369843529,581
27003050108,p_65up,0.083,703,-0.9278129596583453,% people age 65 or older,people,high_opportunity,1.8526785714285716,1.7675230017559973,1.6500711237553343,116
