system:index,GEOID,Year,ndvi_uncultivated,.geo
00000000000000000000,271230413022,2021,0.3119352406274013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,271230342014,2021,0.16646467796009917,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,271230342012,2021,0.24989981085713145,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,270530268127,2021,0.510098016142007,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,270530268125,2021,0.32825813882354365,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,270530260073,2021,0.5061194506670179,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,270530260074,2021,0.4644243597785079,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,270530260076,2021,0.40428901299605463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,270530260075,2021,0.42135656451070086,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,270530268126,2021,0.33572880735633,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,270030507105,2021,0.5088801094565123,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,270030508294,2021,0.5062902862421245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,270030508272,2021,0.5692792201299962,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,270030502374,2021,0.65605491708899,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,270030506111,2021,0.5403704698967369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,270030506112,2021,0.5503621777719402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,270030502084,2021,0.5918019222375395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,270030507074,2021,0.6522312875428417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,270030507072,2021,0.5825003833906361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,270530224004,2021,0.4864072794555043,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,270531008001,2021,0.542043166059033,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,270531008002,2021,0.5070330687445561,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,270531108002,2021,0.5022446823679626,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,270530239021,2021,0.6457911660739102,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,270531062003,2021,0.40650844346284737,"{""type"":""MultiPoint"",""coordinates"":[]}"
