CTU Name,Average tree %,Lowest block group tree %,Highest block group tree %
Afton,0.38796720029204596,0.212,0.39299999999999996
Andover,0.4280709404108577,0.309,0.5479999999999999
Anoka,0.33411097004552565,0.19399999999999998,0.563
Apple Valley,0.410285024284797,0.145,0.593
Arden Hills,0.38296970244161355,0.303,0.54
Bayport,0.3459702139667848,0.15,0.36700000000000005
Baytown Twp.,0.31907221277402315,0.298,0.36700000000000005
Belle Plaine,0.20619738284301925,0.133,0.226
Belle Plaine Twp.,0.08076277437845733,0.133,0.226
Benton Twp.,0.07516604693624952,0.062,0.077
Bethel,0.3970106027517874,0.34,0.34
Birchwood Village,0.6777777677807407,0.653,0.653
Blaine,0.3659289117781931,0.163,0.545
Blakeley Twp.,0.2320512944124175,0.17,0.17
Bloomington,0.39979081280254,0.109,0.623
Brooklyn Center,0.29124819825441317,0.16699999999999998,0.402
Brooklyn Park,0.3205209762247278,0.14300000000000002,0.531
Burnsville,0.4134573199942745,0.13699999999999998,0.645
Camden Twp.,0.09297238652427513,0.077,0.096
Carver,0.3819106985407385,0.141,0.341
Castle Rock Twp.,0.07209749682672979,0.07200000000000001,0.124
Cedar Lake Twp.,0.1739016666321241,0.156,0.17
Centerville,0.3692115882644834,0.318,0.424
Champlin,0.4229904492953204,0.325,0.48200000000000004
Chanhassen,0.4165857578719343,0.27699999999999997,0.594
Chaska,0.36614885308909856,0.262,0.5379999999999999
Circle Pines,0.48492807234063134,0.431,0.505
Coates,0.0385209840589658,0.14,0.14
Cologne,0.0950898455521338,0.077,0.077
Columbia Heights,0.32801634717684114,0.174,0.485
Columbus,0.32113661790003833,0.25,0.373
Coon Rapids,0.4162635507827673,0.204,0.564
Corcoran,0.14237392330877535,0.114,0.16399999999999998
Cottage Grove,0.2656554537378134,0.163,0.478
Credit River,0.33085137568067,0.27699999999999997,0.34
Crystal,0.3594160564550791,0.106,0.511
Dahlgren Twp.,0.13685036687185792,0.141,0.341
Dayton,0.2792979410302069,0.25,0.297
Deephaven,0.6267875790229622,0.607,0.643
Dellwood,0.4814147796682042,0.501,0.597
Denmark Twp.,0.21522022582634076,0.212,0.39299999999999996
Douglas Twp.,0.08279650035103289,0.081,0.081
Eagan,0.4217466102228861,0.2,0.631
East Bethel,0.35951864134929085,0.309,0.46299999999999997
Eden Prairie,0.41023497687278104,0.192,0.596
Edina,0.421866853331373,0.067,0.579
Elko New Market,0.2679962955008248,0.212,0.212
Empire Twp.,0.09434989145175311,0.07,0.3
Eureka Twp.,0.12588969153236054,0.07200000000000001,0.147
Excelsior,0.3925393435173814,0.41600000000000004,0.501
Falcon Heights,0.29596251701512505,0.161,0.44299999999999995
Farmington,0.20709835186039527,0.102,0.38799999999999996
Forest Lake,0.3263501278589485,0.218,0.48700000000000004
Fort Snelling (unorg.),0.2151834145826738,0.161,0.335
Fridley,0.31783985143089966,0.141,0.594
Gem Lake,0.5314718311999849,0.43700000000000006,0.47200000000000003
Golden Valley,0.41528710987079875,0.23600000000000002,0.609
Grant,0.37650906276686746,0.285,0.501
Greenfield,0.21748222457591845,0.16,0.29600000000000004
